umls_id,mondo_id
C0341694,1184
C0005684,1187
C1333459,1188
C0019575,1191
C1333460,1192
C0235604,1197
C0154301,1198
C0155616,1200
C1443972,1202
C0155231,1203
C1333466,1204
C0154968,1205
C0521648,1207
C0264490,1208
C3665596,1209
C0423224,1210
C0152197,1211
C0271446,1212
C0155421,1213
C0155141,1214
C0153285,1215
C0034100,1216
C0155144,1217
C0155817,1218
C0155142,1219
C1333147,1222
C4025822,1223
C0001309,1224
C1313983,1226
C0395849,1227
C0155143,1228
C0156164,1229
C0155257,1231
C0155258,1232
C0155259,1233
C0155478,1234
C0496779,1235
C0003614,1236
C1332328,1237
C0272153,1238
C0158996,1239
C0002891,1240
C0158997,1241
C0158992,1242
C0012739,1243
C0042880,1244
C0272348,1244
C0041471,1246
C0040592,1249
C0152455,1250
C0392492,1251
C0342127,1252
C0152131,1253
C0155891,1255
C0334533,1256
C0154834,1257
C0342405,1259
C0546996,1260
C0155700,1261
C0220977,1262
C0153278,1263
C0014733,1266
C0017572,1268
C0036412,1269
C0156265,1270
C0023316,1271
C0156173,1272
C0152167,1274
C0347515,1275
C0007773,1277
C1334264,1279
C0008526,1280
C0152207,1281
C0014177,1282
C0269106,1283
C0156347,1284
C0156345,1285
C0015310,1286
C0156348,1287
C0156346,1288
C0009592,1291
C0153485,1293
C0154690,1295
C0007177,1297
C0158619,1298
C0271686,1299
C0259749,1300
C0152105,1302
C0155596,1304
C0023075,1305
C0155119,1306
C0155091,1307
C0162281,1308
C0028866,1309
C0155115,1310
C0155415,1312
C0155418,1313
C0154639,1316
C0155080,1317
C0496828,1319
C0155363,1320
C0155359,1321
C0346609,1322
C1449721,1323
C0206081,1324
C0153601,1325
C0011407,1326
C2940786,1328
C0152196,1329
C0033075,1330
C0162280,1331
C0085574,1332
C0155213,1334
C0155214,1335
C0020476,1336
C0020473,1336
C0376117,1337
C4084770,1338
C0155773,1339
C4049006,1341
C0162538,1341
C0013374,1342
C0341004,1349
C0153581,1350
C0346867,1352
C0275742,1353
C0271001,1355
C0162316,1356
C0002884,1357
C0006261,1358
C0154788,1360
C0271384,1361
C0152458,1362
C0154789,1363
C0152193,1364
C0398661,1367
C0155102,1368
C0155836,1369
C0031039,1370
C0153612,1373
C0349666,1374
C0496826,1375
C0153611,1376
C0155366,1377
C0153615,1378
C0153614,1379
C0496827,1380
C1332561,1381
C0019212,1382
C0154778,1383
C0027092,1384
C0155320,1385
C0270824,1386
C0238352,1387
C0153599,1388
C0155000,1390
C0021192,1391
C0152206,1392
C0339394,1393
C0155076,1395
C0155019,1396
C0494491,1397
C1336875,1399
C1336877,1400
C0024621,1401
C0496814,1403
C0013568,1404
C0011638,1405
C0031118,1406
C0153489,1407
C0238309,1408
C0014868,1409
C0156409,1410
C0221392,1410
C0152941,1413
C0156312,1415
C1336773,1417
C1336774,1418
C0345946,1419
C1263897,1420
C1263886,1421
C0154648,1424
C1334674,1426
C0341217,1427
C0152163,1428
C0152083,1429
C0155095,1430
C0155302,1431
C0042251,1433
C0344289,1435
C0019114,1436
C5400698,1437
C0175999,1438
C0155351,1439
C0155084,1440
C0041234,1444
C0005697,1445
C0489967,1446
C0341747,1447
C0024266,1449
C1320640,1451
C2053820,1452
C0154857,1453
C0154855,1454
C0154856,1455
C0154854,1456
C0154859,1457
C1288279,1458
C0748226,1459
C0152077,1460
C0040252,1461
C0153435,1462
C0153440,1463
C0153436,1464
C0155074,1465
C1562761,1466
C0158332,1467
C0267183,1469
C1412037,1470
C0349644,1472
C0154206,1473
C0156328,1474
C0853697,1475
C0003081,1478
C0012555,1479
C0153595,1480
C0265066,1481
C1336711,1482
C0546835,1487
C0155104,1488
C0018179,1490
C0694548,1491
C0152102,1492
C0238074,1493
C0040774,1494
C0018931,1495
C1456400,1495
C0042374,1497
C0042341,1498
C1335779,1499
C0585129,1501
C0948749,1502
C0154782,1503
C0019187,1505
C0156291,1506
C0155508,1507
C0155434,1508
C0155264,1509
C0155272,1510
C0155265,1511
C0155270,1512
C0155271,1513
C0238502,1514
C0155118,1515
C0026847,1516
C0013369,1517
C0155190,1518
C0014390,1519
C0154806,1523
C0701822,1525
C0496815,1526
C0030312,1529
C0271847,1530
C0006897,1532
C0155169,1534
C0152179,1535
C1336939,1536
C0152814,1537
C0162291,1538
C0035321,1539
C0004681,1540
C0154752,1541
C0270909,1542
C0154748,1543
C0154751,1544
C0158295,1546
C0155471,1547
C0019147,1548
C0019061,1549
C0156339,1551
C0152137,1553
C0271142,1554
C0158983,1555
C0041972,1556
C0263962,1557
C0178426,1558
C0001163,1563
C0155010,1565
C0020437,1566
C0027709,1567
C0018418,1571
C0023267,1572
C0155765,1574
C0153208,1575
C0039446,1576
C0035235,1577
C0152440,1579
C0153631,1580
C0155196,1582
C0271680,1583
C1300133,1588
C0034372,1590
C0155188,1591
C0156349,1592
C0034882,1593
C0149846,1594
C0038557,1597
C0266995,1598
C0026686,1600
C0152072,1601
C1334357,1602
